Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,Country,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost
AG-2011-2040,1/1/2011,6/1/2011,Standard Class,TB-11280,Toby Braunhardt,Consumer,Constantine,Algeria,Africa,Africa,OFF-TEN-10000025,Office Supplies,Storage,Tenex Lockers,408.3,2,0,106.14,35.46
IN-2011-47883,1/1/2011,8/1/2011,Standard Class,JH-15985,Joseph Holt,Consumer,Wagga Wagga,Australia,APAC,Oceania,OFF-SU-10000618,Office Supplies,Supplies,Acme Trimmer,120.366,3,0.1,36.036,9.72
HU-2011-1220,1/1/2011,5/1/2011,Second Class,AT-735,Annie Thurman,Consumer,Budapest,Hungary,EMEA,EMEA,OFF-TEN-10001585,Office Supplies,Storage,Tenex Box,66.12,4,0,29.64,8.17
IT-2011-3647632,1/1/2011,5/1/2011,Second Class,EM-14140,Eugene Moren,Home Office,Stockholm,Sweden,EU,North,OFF-PA-10001492,Office Supplies,Paper,Enermax Note Cards,44.865,3,0.5,-26.055,4.82
IN-2011-47883,1/1/2011,8/1/2011,Standard Class,JH-15985,Joseph Holt,Consumer,Wagga Wagga,Australia,APAC,Oceania,FUR-FU-10003447,Furniture,Furnishings,Eldon Light Bulb,113.67,5,0.1,37.77,4.7
IN-2011-47883,1/1/2011,8/1/2011,Standard Class,JH-15985,Joseph Holt,Consumer,Wagga Wagga,Australia,APAC,Oceania,OFF-PA-10001968,Office Supplies,Paper,Eaton Computer Printout Paper,55.242,2,0.1,15.342,1.8
IN-2011-30733,1/2/2011,3/2/2011,Second Class,PO-18865,Patrick O'Donnell,Consumer,Dhaka,Bangladesh,APAC,Central Asia,TEC-CO-10002316,Technology,Copiers,Brother Personal Copier,285.78,2,0,71.4,57.3
CA-2011-115161,1/2/2011,3/2/2011,First Class,LC-17050,Liz Carlisle,Consumer,Mission Viejo,United States,US,West,FUR-BO-10003966,Furniture,Bookcases,Sauder Facets Collection Library,290.666,2,0.15,3.4196,54.64
AO-2011-1390,1/2/2011,4/2/2011,Second Class,DK-3150,David Kendrick,Corporate,Luanda,Angola,Africa,Africa,OFF-FEL-10001541,Office Supplies,Storage,Fellowes Lockers,206.4,1,0,92.88,53.08
ID-2011-56493,1/2/2011,3/2/2011,Second Class,SP-20650,Stephanie Phelps,Corporate,Yingcheng,China,APAC,North Asia,OFF-ST-10002161,Office Supplies,Storage,Tenex Trays,162.72,3,0,68.31,44.36
IN-2011-36074,1/2/2011,5/2/2011,Second Class,DK-13150,David Kendrick,Corporate,Chongqing,China,APAC,North Asia,OFF-AP-10001254,Office Supplies,Appliances,KitchenAid Coffee Grinder,352.35,5,0,137.4,33.15
US-2011-118892,1/2/2011,6/2/2011,Standard Class,DH-13075,Dave Hallsten,Corporate,San Miguelito,Panama,LATAM,Central,OFF-AP-10002317,Office Supplies,Appliances,Hamilton Beach Refrigerator,400.704,2,0.4,20.024,21.38
IR-2011-6550,1/2/2011,6/2/2011,Standard Class,PO-8850,Patrick O'Brill,Consumer,Mashhad,Iran,EMEA,EMEA,FUR-ADV-10002601,Furniture,Furnishings,Advantus Photo Frame,309.6,6,0,148.5,19.65
ES-2011-5268439,1/2/2011,3/2/2011,Second Class,GH-14485,Gene Hale,Corporate,La Rochelle,France,EU,Central,OFF-AR-10001529,Office Supplies,Art,Binney & Smith Pencil Sharpener,139.65,5,0,15.3,19.23
IN-2011-30733,1/2/2011,3/2/2011,Second Class,PO-18865,Patrick O'Donnell,Consumer,Dhaka,Bangladesh,APAC,Central Asia,OFF-SU-10000484,Office Supplies,Supplies,Kleencut Rules,40.68,3,0,11.79,11.13
US-2011-118892,1/2/2011,6/2/2011,Standard Class,DH-13075,Dave Hallsten,Corporate,San Miguelito,Panama,LATAM,Central,TEC-AC-10001221,Technology,Accessories,Memorex Memory Card,81.984,2,0.4,-19.136,6.21
ES-2011-5460465,1/2/2011,5/2/2011,Standard Class,RR-19315,Ralph Ritter,Consumer,Parma,Italy,EU,South,OFF-AR-10000980,Office Supplies,Art,Sanford Pencil Sharpener,78.3,3,0,20.34,6.03
IN-2011-30733,1/2/2011,3/2/2011,Second Class,PO-18865,Patrick O'Donnell,Consumer,Dhaka,Bangladesh,APAC,Central Asia,OFF-BI-10003012,Office Supplies,Binders,Wilson Jones Hole Reinforcements,22.65,5,0,9.6,5.29
IN-2011-30733,1/2/2011,3/2/2011,Second Class,PO-18865,Patrick O'Donnell,Consumer,Dhaka,Bangladesh,APAC,Central Asia,OFF-LA-10001292,Office Supplies,Labels,Smead File Folder Labels,20.34,3,0,9.9,3.78
ES-2011-5268439,1/2/2011,3/2/2011,Second Class,GH-14485,Gene Hale,Corporate,La Rochelle,France,EU,Central,OFF-EN-10004597,Office Supplies,Envelopes,GlobeWeis Peel and Seal,21.39,1,0,0,3.34
ES-2011-2205486,1/2/2011,7/2/2011,Standard Class,IM-15055,Ionia McGrath,Consumer,Halle,Germany,EU,Central,OFF-BI-10001249,Office Supplies,Binders,Acco Hole Reinforcements,21.06,3,0,10.53,1.86
ES-2011-2205486,1/2/2011,7/2/2011,Standard Class,IM-15055,Ionia McGrath,Consumer,Halle,Germany,EU,Central,OFF-BI-10001717,Office Supplies,Binders,Avery Hole Reinforcements,11.82,2,0,4.2,0.93
US-2011-118892,1/2/2011,6/2/2011,Standard Class,DH-13075,Dave Hallsten,Corporate,San Miguelito,Panama,LATAM,Central,OFF-BI-10000719,Office Supplies,Binders,Wilson Jones Hole Reinforcements,9.576,6,0.4,-0.984,0.81
CA-2011-1800,1/3/2011,4/3/2011,First Class,TP-11415,Tom Prescott,Consumer,Toronto,Canada,Canada,Canada,OFF-FEL-10001405,Office Supplies,Storage,Fellowes File Cart,551.16,4,0,71.64,164.36
ES-2011-1705541,1/3/2011,6/3/2011,Standard Class,TS-21370,Todd Sumrall,Corporate,Farnborough,United Kingdom,EU,North,FUR-BO-10000259,Furniture,Bookcases,Safco Classic Bookcase,1314.45,3,0,341.73,150.4
UP-2011-3730,1/3/2011,5/3/2011,Standard Class,RD-9900,Ruben Dartt,Consumer,Vinnytsya,Ukraine,EMEA,EMEA,TEC-LOG-10003896,Technology,Accessories,Logitech Router,1470.78,6,0,264.6,146.55
ES-2011-3893444,1/3/2011,5/3/2011,Standard Class,TB-21400,Tom Boeckenhauer,Consumer,Berlin,Germany,EU,Central,OFF-AP-10002568,Office Supplies,Appliances,Hamilton Beach Toaster,364.416,8,0.2,45.456,80.67
